id,frase,autor,obra
1,"Preocupado com uma única folha, você não verá a árvore, preocupado com uma única árvore você irá perder toda a floresta.","Takuan Soho","Vagabond"
2,"Não reze pelo futuro, não pense nem no futuro nem no passado, só se mantenha no presente.","Miyamoto Musashi","Vagabond"
3,"Você não tem inimigos. Ninguém tem, nenhum inimigo. Não existe ninguém no mundo que mereça ser machucado..","Thors Snorresson","Vinland Saga"
4,"Você consegue ver o quão infinito você é?","Miyamoto Musashi","Vagabond"
5,"Pense somente na sua arte.","Miyamoto Musashi","Vagabond"
6,"O ódio é o lugar para onde vai o homem que não é capaz de suportar a tristeza.","Godot","Berserk"
7,"A vingança é algo mais escuro que uma mancha de sangue, e a tristeza é uma adaga que é afiada apenas para furar seu coração. Com o passar do tempo ela se torna ainda mais afiada e tudo que resta é o poder da lâmina dela...","Godot","Berserk"
8,"Eu nunca esperei por um milagre, faço as coisas acontecerem eu mesmo.","Guts","Berserk"
9,"Você deve entender que há mais de um caminho para o topo da montanha.","Miyamoto Musashi","Vagabond"
10,"Invencível sob o sol? É uma frase. Só uma frase... É como um clamor caloroso se chegar perto, ele desaparece.","Miyamoto Musashi","Vagabond"
11,"Todas as pessoas verdadeiramente fortes são gentis.","Takuan Soho","Vagabond"
12,"A força se curva à bondade.","Miyamoto Musashi","Vagabond"
13,"Não há luz para quem não conhece a escuridão.","Takehiko Inoue","Vagabond"
14,"Não se preocupe com um único ponto. Veja tudo na íntegra... Sem esforço. Isso é o que significa verdadeiramente ver.","Takehiko Inoue","Vagabond"
15,"Sorria... Sorria mais...","Sekishusai Yagyu","Vagabond"
16,"Uma encosta íngreme, uma largura estreita do rio, um fluxo rápido e violento. Devido ao terreno e à influência externa, o estado da água é perfeitamente decidido. E, no entanto, a água obedece apenas a si mesma. Água é apenas água. Completamente água. Absolutamente livre.","Miyamoto Musashi","Vagabond"
17,"Você mantém os nervos à flor da pele e está sempre pronto para atacar. Você se distancia de todos. É porque você tem medo das pessoas. Você é a pessoa mais fraca desta aldeia.","Takehiko Inoue","Vagabond"
18,"Um verdadeiro guerreiro nunca para de crescer, nunca para de aprender.","Thorfinn","Vinland Saga"
19,"Um guerreiro nunca deve esquecer o peso da sua espada.","Thorfinn","Vinland Saga"
20,"Lute, resista, contenda. Pois só isso é a espada de quem desafia a morte. Não se esqueça destas palavras.","Skull Knight","Berserk"